Started,start_communication,prepareCkpts,applyCktps,Applied
4.073,1.151,1.185,2.462,4.827
3.409,0.734,0.657,1.964,3.39
4.626,0.68,0.704,1.958,3.389
3.29,0.688,0.766,1.649,3.135
3.465,0.581,0.836,1.882,3.331
3.446,0.574,0.743,2.365,3.712
3.543,0.687,0.692,2.339,3.753
3.543,0.722,0.709,2.515,4.005
3.211,0.691,0.647,1.921,3.3
3.501,0.596,0.668,1.665,2.96
3.381,0.222,,1.382,1.639
3.275,0.17,,2.665,2.858
3.445,0.153,,1.434,1.618
3.432,0.184,,1.396,1.603
3.871,0.254,,1.505,1.808
3.362,0.2,,1.771,2.0
3.837,0.183,,1.739,1.965
3.714,0.176,,2.315,2.515
3.917,0.281,,1.78,2.166
3.409,0.266,,1.836,2.147
4.36,0.488,,2.635,3.149
3.391,0.433,,2.734,3.202
3.212,0.428,,2.081,2.548
3.117,0.433,,2.337,2.808
3.468,0.47,,2.201,2.72
3.249,0.52,,2.416,2.962
3.348,0.52,,2.552,3.107
3.456,0.422,,2.128,2.577
3.414,0.473,,2.639,3.152
3.569,0.439,,2.119,2.594
