Started,start_communication,prepareCkpts,applyCktps,Applied
3.309,0.701,0.575,1.952,3.266
3.787,0.592,0.553,1.646,2.838
4.245,0.761,0.625,2.913,4.331
3.594,0.681,0.722,2.138,3.616
3.402,0.757,0.56,2.13,3.484
3.519,0.619,0.563,2.702,3.955
4.518,0.842,1.071,3.268,5.242
5.114,0.797,0.572,1.44,3.028
4.203,0.662,0.583,1.549,2.836
3.246,0.745,0.585,2.095,3.46
3.812,0.179,,1.369,1.577
3.501,0.155,,1.725,1.927
3.472,0.163,,1.249,1.433
3.455,0.28,,2.025,2.404
3.445,0.31,,1.506,1.985
3.541,0.236,,1.688,1.974
3.119,0.146,,1.773,1.944
3.983,0.175,,1.296,1.502
3.065,0.184,,1.735,1.947
3.207,0.185,,1.699,1.937
3.563,0.503,,2.513,3.062
3.451,0.413,,2.079,2.564
3.513,0.405,,2.071,2.514
3.133,0.526,,1.873,2.452
3.181,0.432,,2.469,2.931
3.47,0.395,,2.254,2.681
3.342,0.375,,2.46,2.86
3.496,0.436,,1.834,2.32
3.363,0.527,,2.268,2.864
3.393,0.403,,2.706,3.131
